GeomID,Local knowledge event,Remote event,Early import,Geometry import,Late import,Tag import
1,52.47,3.75,0.0,7.28,0.0,0.0
2,17.95,11.51,9.0,3.51,3.47,34.15
3,21.14,6.9,18.39,0.0,0.0,0.0
4,19.1,28.31,0.0,0.0,0.0,10.3
5,0.0,77.63,4.12,7.45,0.0,0.0
6,9.71,22.43,10.7,6.97,5.13,3.39
7,3.54,0.0,20.65,0.0,10.2,6.57
8,0.0,71.29,21.13,0.0,5.37,0.0
9,16.9,80.08,0.0,0.0,0.0,0.0
10,5.11,81.4,0.0,0.0,10.96,0.0
11,15.52,0.0,21.84,16.32,17.96,1.59
12,9.45,67.96,4.74,0.0,0.0,0.0
13,17.29,78.32,0.0,0.0,0.0,0.0
14,0.0,83.73,0.0,0.0,0.0,0.0
15,15.98,74.3,0.0,0.0,0.0,0.0
16,0.0,60.7,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,13.97,37.78,7.59
18,0.0,0.0,88.22,3.08,0.0,0.0
19,0.0,16.66,52.5,0.0,5.68,0.0
20,0.0,41.13,50.96,0.0,0.0,0.0
21,0.0,60.08,16.98,0.0,0.0,0.0
22,0.0,76.57,14.72,0.0,0.0,0.0
23,0.0,0.0,5.65,27.55,0.0,5.39
24,0.0,81.97,15.1,0.0,0.0,0.0
25,0.0,78.47,0.0,0.0,0.0,0.0
26,0.0,95.32,0.0,0.0,0.0,0.0
27,10.47,85.97,0.0,0.0,0.0,0.0
28,0.0,94.52,0.0,0.0,0.0,0.0
29,2.29,0.0,20.06,7.0,7.81,0.0
30,0.0,2.99,3.04,6.33,14.42,0.0
31,8.7,0.0,4.06,6.38,45.28,0.0
32,8.66,0.0,1.99,5.63,23.01,0.0
33,18.03,0.0,0.0,7.83,7.92,0.0
34,0.0,28.92,0.0,0.0,0.0,0.0
35,3.91,0.0,8.17,13.76,15.1,0.0
36,0.0,41.51,43.25,0.0,0.0,0.0
37,2.57,0.0,3.39,0.0,16.83,0.0
38,0.0,51.03,31.95,0.0,0.0,0.0
39,0.0,50.11,0.0,0.0,15.55,0.0
40,0.0,0.0,83.11,0.0,6.19,0.0
41,0.0,0.0,17.61,18.92,7.32,0.0
42,18.46,0.0,0.0,19.42,4.64,0.0
43,0.0,79.75,0.0,0.0,0.0,0.0
44,16.23,0.0,0.0,3.77,0.0,0.0
45,0.0,81.61,0.0,0.0,0.0,0.0
46,15.35,0.0,0.0,0.0,37.92,0.0
47,0.0,87.2,0.0,0.0,0.0,0.0
48,28.93,0.0,0.0,0.0,5.9,0.0
49,0.0,92.36,0.0,0.0,0.0,0.0
50,0.0,55.49,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,3.05,31.46,0.0
52,0.0,4.85,0.0,3.32,49.3,0.0
53,9.59,0.0,15.93,4.82,0.0,0.0
54,15.5,60.67,13.03,0.0,0.0,0.0
55,7.43,0.0,18.6,0.0,0.0,0.0
56,15.13,0.0,23.12,3.64,0.0,0.0
57,6.51,0.0,23.66,5.69,0.0,0.0
58,17.54,0.0,24.28,0.0,4.29,0.0
59,20.29,0.0,14.02,12.6,0.0,2.83
60,0.0,57.28,6.22,7.19,0.0,0.0
61,7.14,7.86,4.37,10.45,0.0,0.0
62,3.19,0.0,0.0,12.15,7.85,0.0
63,12.69,9.04,12.44,2.52,22.71,0.0
64,0.0,5.3,52.23,0.0,0.0,0.0
65,0.0,0.0,23.01,0.0,0.0,0.0
66,0.0,23.42,0.0,0.0,16.37,0.0
67,2.69,0.0,5.42,14.68,4.0,0.0
68,8.06,0.0,14.73,0.0,4.85,3.09
69,6.83,11.35,4.19,0.0,27.52,2.04
70,16.58,2.9,11.52,1.45,28.07,0.0
71,5.91,6.98,4.41,0.0,44.33,0.0
72,0.0,0.0,0.0,12.46,24.14,0.0
73,6.32,12.97,5.93,0.0,17.84,0.0
74,4.28,18.5,8.94,0.0,23.11,0.0
75,11.12,0.0,0.0,0.0,3.4,0.0
76,3.68,0.0,2.68,0.0,26.15,0.0
77,20.82,0.0,8.38,0.0,14.78,0.0
78,4.4,2.43,29.43,0.0,16.27,0.0
79,9.97,9.02,17.74,0.0,28.11,0.0
80,4.59,0.0,9.1,0.0,30.37,0.0
81,3.7,3.38,9.42,0.0,20.58,0.0
82,3.92,32.9,0.0,19.57,0.0,0.0
83,0.0,0.0,24.88,0.0,14.43,0.0
84,0.0,4.99,15.81,0.0,9.6,0.0
85,0.0,0.0,14.85,0.0,38.8,0.0
86,0.0,0.0,23.36,0.0,17.37,0.0
87,0.0,0.0,13.55,0.0,15.82,0.0
88,3.88,0.0,0.0,0.0,13.2,0.0
89,4.66,0.0,0.0,3.67,11.9,0.0
90,9.28,0.0,3.71,3.32,7.27,0.0
91,0.0,8.36,9.75,0.0,14.13,0.0
92,3.9,7.88,0.0,0.0,15.76,0.0
93,0.0,7.19,10.65,4.52,8.35,0.0
94,0.0,0.0,15.8,0.0,24.56,0.0
95,12.19,4.31,9.78,7.44,6.68,0.0
96,3.42,0.0,3.9,0.0,16.76,0.0
97,20.36,2.62,0.0,3.02,9.34,0.0
98,0.0,0.0,4.29,0.0,19.48,0.0
99,6.38,0.0,0.0,5.62,4.76,0.0
100,0.0,0.0,3.71,7.83,6.25,0.0
101,7.12,0.0,4.7,19.28,0.0,0.0
102,16.81,6.57,0.0,0.0,0.0,0.0
103,10.71,0.0,0.0,14.65,4.83,3.22
104,8.78,0.0,11.84,3.38,0.0,0.0
105,0.0,2.12,0.0,3.4,9.48,0.0
106,0.0,0.0,12.75,0.0,15.75,7.98
107,3.44,6.49,0.0,0.0,2.44,0.0
108,4.38,0.0,16.2,0.0,17.27,3.13
109,16.19,3.95,5.81,9.65,0.0,0.0
110,28.17,2.23,2.2,2.11,0.0,0.0
111,5.16,0.0,11.69,7.49,9.27,0.0
112,0.0,0.0,0.0,10.14,10.94,0.0
113,0.0,0.0,0.0,0.0,17.27,0.0
114,6.74,16.19,0.0,4.69,5.95,0.0
115,9.47,0.0,0.0,0.0,9.28,0.0
116,4.19,0.0,0.0,18.68,11.03,0.0
117,10.34,10.94,0.0,7.66,25.88,2.5
118,21.88,0.0,0.0,7.11,0.0,0.0
119,22.16,0.0,0.0,2.35,4.97,0.0
120,27.02,0.0,0.0,3.46,6.71,0.0
121,36.23,2.08,0.0,4.25,7.33,0.0
122,6.11,0.0,5.48,9.09,50.07,1.93
123,23.92,11.15,23.24,3.84,1.57,0.0
